ID,subsystem/path,classification,current consumer,retention reason,replacement/current authority,action,confidence
RD-18,KMT Vulkan warning,A/N,Window shared-memory transport remains live. Prior memoryTypeIndex-00645 warning needs measured window-specific investigation. Offscreen parity here reports zero validation errors.,Current window transport; warning remains unmeasured here,Existing interop pending bounded window-specific diagnosis,A/N. Not a window-interop fix or proof that prior window warning is resolved.,Current repository consumers verified; retirement conditional on named missing evidence

RD-19,Launcher/settings,"A/E, B/N settings upgrade",Six supported production presets and explicit grid/frame/subdivision/proof tools. Legacy settings loader upgrades pre-window/resolution/diagnostics persisted JSON. User settings exist outside repository inventory.,Current presets and persisted user preferences,Current route policy; explicit settings-version decision pending,"A/E, B/N settings upgrade. Define supported settings versions before silently dropping user preferences.",Current repository consumers verified; retirement conditional on named missing evidence

RD-20,Diagnostics,C/J/E,"EarthRouteValidation, regional physical probes, P2S5C traversal, Solar warp, query/GPU proof modes and telemetry have permanent test or reproduction consumers. Archived mutation scripts are provenance only.",Permanent regression and reproduction consumers,Retained targeted diagnostics and bounded evidence policy,C/J/E. Keep useful capture ability separately from temporary output.,High for stated current responsibility/disposition; migration still required where specified

RD-21,Remaining diagnostic interfaces,I/N,Fixed timestamp accounting still has an unused anchored label; `--verbose-input` is a documented alias.,Telemetry and CLI compatibility inventory missing,Current telemetry/CLI after supported-consumer decision,I/N. Identify telemetry/CLI consumers before removing interfaces. No performance work.,Current repository consumers verified; retirement conditional on named missing evidence

RD-22,Assets/source,A/D/C; hashes preserved,"NASA imagery/elevation, manifest-selected packs, NCSM1 levels, NCLo pack, source provenance and deterministic generators have named runtime/reproduction consumers.",Current runtime inputs and deterministic regeneration,Manifest-selected production assets and generators,A/D/C; hashes preserved. Small repeated deployment elevation files serve independent executable directories.,High for stated current responsibility/disposition; migration still required where specified

RD-23,Acquisition/cache,D/A/L,USGS TIFF and metadata are regeneration sources; content-addressed packs are derived; downloads/generation are staging. AssetTool verify/install/fetch/build and acquisition scripts remain.,Source regeneration and current content-addressed assets,Current AssetTool; future pinned dry-run eviction policy,D/A/L. Cached source data is not automatically disposable.,High for stated current responsibility/disposition; migration still required where specified

RD-24,Root `ln -c Debug` file,K/N,"It is a 53,560-byte captured warning/diff log, not an executable helper; no code/project reads it. Prior explicit retention instruction and historical docs called it supported. Actual Debug build command is `dotnet build NovaCore.sln -c Debug`.",Prior explicit retention boundary requires resolution,Documented dotnet Debug build; captured log has no runtime replacement,"K/N: resolve the explicit prior retention boundary, then retire the misleading log. Retention here is temporary, not a claim of launcher functionality.",Current repository consumers verified; retirement conditional on named missing evidence

RD-25,Historical docs/evidence,F,"Original measurements, rejected candidates, runtime identities, provenance and reproduction source remain useful. Removed video remains in milestone history.",Engineering chronology and reproducibility provenance,"Bounded reports, hashes and reproduction recipes","F. Original package hashes are historical snapshots, not a current all-files-present guarantee.",High for stated current responsibility/disposition; migration still required where specified

RD-26,Current docs,A/E/F; normalized without rewriting measurements,"README, handoff/state and architecture/rendering must identify P2S5H and current commands/debt front.",Accurate current development authority,Banked P2S5H documentation,A/E/F; normalized without rewriting measurements.,High for stated current responsibility/disposition; migration still required where specified

RD-27,Broad Graphics runner,C/N,Existing fixture/order assumptions and distant/detailed orbit assertion require isolated fixture ownership analysis. Targeted tests pass in fresh processes.,Permanent regressions require isolated fixture ownership,Targeted fresh-process checks pending full-suite repair,C/N. No full Graphics-suite PASS claimed; no renderer changes made to satisfy old assumptions.,Current repository consumers verified; retirement conditional on named missing evidence

RD-28,Public compatibility inventory,N,Public APIs/formats can have external consumers not visible in the checkout.,External supported-consumer inventory missing,Explicit supported contract and bounded migration decisions,"N. Establish supported producer/consumer inventory, then retire unclaimed interfaces in bounded packages.",Current repository consumers verified; retirement conditional on named missing evidence

RD-29,Historical LFS rules,F/M,Old extension patterns describe LFS-backed historical assets and avoid accidental ordinary-Git reintroduction during recovery.,Historical recovery and LFS-backed artifact provenance,Existing Git/LFS history; separate storage decision,F/M. No current runtime consumer inferred; attributes/history unchanged.,High for stated current responsibility/disposition; migration still required where specified
