ID,subsystem,version/API,current producer,current consumer,production dependency,test/fixture dependency,external/public exposure,replacement,migration path,classification,confidence,retirement condition
FIX-01,tests/fixtures/terrain/tiny-local.*,"697,539-byte schema-2/payload-1/terrain-4 fixture",Originally generated at 11bccb2; current recorded generator arguments no longer reproduce its identity,LocalTerrainStreamingAndGpuCompressionTest; generic native ValidateTerrainAsset,No production asset dependency,"Sequential bounds/order, sparse absence, Raw/PackBits, digest corruption, physical-error metrics",Fixture is tracked/public; old parser’s external status is a separate question,Bounded current-format fixture and current generator recipe,Create bounded schema-3 R16/control fixture support or explicitly migrate current non-regional contract to payload 2; update metadata/assertions; preserve original measured metrics as history,MIGRATE THEN RETIRE,High: actual payload/header and generator constants differ,Reproduction recipe and invariant mapping validated; resolve old payload contract before removing parser
FIX-02,tests/fixtures/terrain/tiny-global.*,"5,032-byte NCCUBE1/schema-1/terrain-44 fixture",Its dedicated global generator recipe,Global manifest/cache/native record verification regression,Generic verification protects current global asset path,Small six-record independent fixture; generic body/terrain IDs are intentional,"Public bounded fixture, current supported format",Existing current global fixture,No format migration required,KEEP — ACTIVE CONTRACT,High,Retire only with equivalent bounded current global verification
AUTH-01,CelestialSystemDefinition.cs:44,Internal six-argument pre-catalog TryCreate,"Ten direct call sites in Simulation.Tests, including the local CheckSystem wrapper","Hierarchy validation, time mapping, reserved-model rejection tests",No normal runtime or sample calls found,"Implicit source IDs, default payloads and Legacy-* catalog synthesis currently supply test inputs","Enclosing type and overload internal; six named friend assemblies, not arbitrary public C# callers",Explicit catalog/source/payload TryCreate,"Author bodies, sources and payloads explicitly; preserve identity/order, error precedence, no-publication behavior and copy isolation",MIGRATE THEN RETIRE,High for current caller boundary,Migrate ten direct sites and wrapper-driven cases; validate hashes and invariant coverage; remove synthesis only after parity
AUTH-02,CelestialSystemDefinition.cs:57,Internal ten-argument pre-catalog typed TryCreate,Twelve Simulation.Tests direct call sites,Typed source/payload validation and deterministic hash tests,None outside tests found,"Valid lookup, duplicate/missing source, indices, root model, payload values, domain mismatch and declaration-order hash sensitivity",Internal enclosing type and overload; explicit friend list,Explicit body-catalog overload,Provide body identity/physical catalog before nodes; preserve source declaration order and expected failures,MIGRATE THEN RETIRE,High,Twelve direct callers converted and equivalent deterministic/error tests pass
AUTH-03,CelestialSystemDefinition.cs:60,Internal twelve-argument pre-catalog sampled TryCreate,No qualified call site found; no static-import/reflection dispatch found,Only its own forwarding implementation remains,None,Current SampledDemo uses explicit Bodies(nodes) and thirteen-argument overload,Internal type and member; no supported external/public contract identified,Existing explicit catalog + sampled-payload overload,"No fixture needs this overload; removal candidate is just the overload, not shared hash/sample code",RETIRE — INTERNAL/HISTORICAL ONLY,High for source reachability; no compiled removal performed,"Bounded removal plus compilation/affected loader and Simulation validation; proposed for review, not removed in this read-only package"
AUTH-04,CelestialHierarchyNode.cs,"Legacy CelestialBodyDefinition constructors, field, LegacyDefinition and ParentId",Focused pre-catalog tests,AUTH-01/02 adapters; one ParentId copy-isolation assertion,Current production nodes use BodyId + Ephemeris,Legacy construction/copy tests; modern fixture families already use explicit catalogs,Internal record including constructors/accessors; public-looking members inherit internal type exposure,BodyId/Ephemeris node plus CelestialBodyCatalog identity/physical authority,Switch tests to explicit catalogs and inspect parent via catalog; preserve defensive-copy invariant rather than stale node storage,MIGRATE THEN RETIRE,High,AUTH-01/02 migrated; all legacy construction and accessor use gone with invariant coverage
AUTH-05,CelestialBodyDefinition.cs; CelestialStateStore.cs,Internal mechanical body definition,Simulation state/store and transaction fixtures,CelestialStateStore and dynamics; legacy authoring constructors are only one consumer,Current mechanical state responsibility remains,Independent simulation/dynamics/transaction invariants,Internal with named friend access,Existing mechanical state contract; not equivalent to retiring pre-catalog authoring adapter,Do not remove this shared type with AUTH-04,KEEP — ACTIVE CONTRACT,High,"Independent mechanical-state migration, outside the adapter retirement"
AUTH-06,CelestialSystemFixtures.cs,SolMini / GeocentricDemo / BinaryDemo / SampledDemo,Current fixture source constructs explicit body catalogs,Simulation/evaluation/reference-frame/Graphics regression and proof inputs,"Development/reference authority, not alternate production Solar dataset","Typed dispatch, hierarchy, reference-frame, sampled interpolation, precision and no-allocation invariants",Internal current fixtures with named friend consumers,Existing explicit-catalog authority,Preserve current fixtures; do not move old implicit synthesis into a duplicate helper,KEEP — ACTIVE CONTRACT,High,Equivalent independent current invariants must exist before fixture retirement
API-01,NovaCore.Core/Camera/CameraMath.cs,Public CameraMath.Right / Up / Forward,External C# callers could invoke; no current repository calls found,No internal/test/sample caller outside declaration,None found,No dedicated fixture requires the wrapper,Public NovaCore.Core.dll source API present in v0.5.0; no GitHub release or exact-ID NuGet package found,"DoubleQuaternion.Rotate(UnitX/UnitY/-UnitZ), preserving convention",Decide supported public surface; deprecate/document direct replacement before any removal if consumers exist,UNKNOWN — EXTERNAL CONSUMER RISK,High for local absence/public visibility; external inventory incomplete,Project Control resolves source/DLL distribution and support contract; coordinate convention preserved in migration
API-02,NovaCore.Core/Precision.cs:34,Public RelativePosition(Double3),External users could construct it; no current repository use beyond declaration,No internal/test/sample consumer found,None found,Current frame/camera-relative tests protect actual FP64 subtraction elsewhere,Public record in NovaCore.Core.dll; source exposed in v0.5.0,Explicit frame position/transform contracts and Double3 displacement as appropriate,Inventory meaning at external call sites; do not replace a displacement with absolute world position blindly,UNKNOWN — EXTERNAL CONSUMER RISK,High for local absence; consumer semantics unknown,Supported public contract and each consumer’s coordinate semantics resolved
API-03,PlanetaryLocalTerrain.cs public surface,"LegacyVersion, BC4 residual analysis, local loader schema-2 branches",Current non-regional generator and public caller-provided packs,Public generic format/CPU query tools; tiny-local tests; current R16 path shares file,Shared local dataset class/physical control needed; legacy branches not selected by current manifests,Legacy format/error metrics plus current R16 physical tests,"Public NovaCore.Graphics.dll methods/constants/enums; source distribution proven, external users unknown",Current schema-3 R16/control path with separate retained general codecs,Resolve CUBE-03/04 then narrow only legacy branches; keep generation-4 H and current CPU oracle,DEPRECATE / MIGRATE THEN RETIRE (legacy branches only),High for dependency split; external support unresolved,Old producers/artifacts/API support migrated; current physical parity and public migration conditions met
API-04,Simulation/CelestialSystemDefinition.cs; NcpeCelestialSystemLoader.cs,Explicit catalog constructors and byte-only loader visibility,"SolAnalyticalDefinition, current fixtures, NCPE v2 loader",Simulation internals and named friend assemblies,Current simulation authority,Current reconstruction and evaluator tests,Types are internal even where methods are declared public; no standalone public Simulation SDK contract inferred,Current accepted internal authority,Keep; friend-access list must be included when proving old member reachability,KEEP — ACTIVE CONTRACT,High,Separate accepted simulation authority replacement; not a legacy removal target
API-05,TerrainAssetDistribution.cs and local/global managed contracts,"Public asset manifest, verifier and parser APIs","AssetTool, current manifest-based samples and fixture loaders",Production resolution and development asset verification,Required current deployment boundary,Permanent fixture/hash/structure verification,Public NovaCore.Graphics.dll and documented developer commands,Current manifest-to-verified-path boundary,Keep; public generic parse capability does not confer production ownership on older inputs,KEEP — SUPPORTED PUBLIC CONTRACT,High for in-repository documented workflow; no claim of external support census,Equivalent supported tools/runtime workflow must replace it; no cache-policy work in this ticket
